name,sku,price,description,stock_level,image_path,main_category,subcategory
Angled Brush Set,PFBR000018,20,Precision angled brushes for cutting in edges and detail work with comfortable ergonomic handles.,28,paint_&_finishes_brushes_angled_brush_set_20250620_193229.png,PAINT & FINISHES,BRUSHES
Foam Brush Set,PFBR000019,9,"Disposable foam brushes for small projects, touch-ups, and applying stains and polyurethane.",8,paint_&_finishes_brushes_foam_brush_set_20250620_193303.png,PAINT & FINISHES,BRUSHES
Artist Detail Brush Set,PFBR000020,13,"Fine detail brushes for decorative painting, trim work, and artistic applications with precise control.",55,paint_&_finishes_brushes_artist_detail_brush_set_20250620_193337.png,PAINT & FINISHES,BRUSHES
Roller Frame 9-inch,PFRL000021,10,Heavy-duty roller frame with threaded handle attachment and cage design for various cover types.,90,paint_&_finishes_rollers_roller_frame_9_inch_20250620_193410.png,PAINT & FINISHES,ROLLERS
Microfiber Roller Covers,PFRL000022,14,High-quality microfiber roller covers for smooth finishes with minimal lint and excellent paint capacity.,57,paint_&_finishes_rollers_microfiber_roller_covers_20250620_193446.png,PAINT & FINISHES,ROLLERS
Nap Roller Cover Set,PFRL000023,12,Assorted nap roller covers from 1/4-inch to 1-inch for different surface textures and paint types.,52,paint_&_finishes_rollers_nap_roller_cover_set_20250620_193520.png,PAINT & FINISHES,ROLLERS
Mini Roller Kit 4-inch,PFRL000024,8,"Compact roller kit for small areas, touch-ups, and detail work with frame and covers included.",62,paint_&_finishes_rollers_mini_roller_kit_4_inch_20250620_193555.png,PAINT & FINISHES,ROLLERS
Extension Pole 4-foot,PFRL000025,15,Telescoping extension pole for reaching high areas and reducing ladder use during painting projects.,34,paint_&_finishes_rollers_extension_pole_4_foot_20250620_193630.png,PAINT & FINISHES,ROLLERS
Aerosol Primer Spray,PFSP000026,7,"Fast-drying spray primer for metal, wood, and plastic with excellent adhesion and coverage.",76,paint_&_finishes_spray_paint_aerosol_primer_spray_20250620_193704.png,PAINT & FINISHES,SPRAY PAINT
Gloss Spray Paint,PFSP000027,8,"High-gloss aerosol paint in various colors for furniture, crafts, and small metal projects.",89,paint_&_finishes_spray_paint_gloss_spray_paint_20250620_193738.png,PAINT & FINISHES,SPRAY PAINT
Matte Finish Spray Paint,PFSP000028,7,Flat matte spray paint for decorative items and surfaces requiring a non-reflective finish.,13,paint_&_finishes_spray_paint_matte_finish_spray_paint_20250620_193812.png,PAINT & FINISHES,SPRAY PAINT
Rust Prevention Spray,PFSP000029,10,Rust-inhibitive spray paint for direct application over rust with long-lasting protection.,67,paint_&_finishes_spray_paint_rust_prevention_spray_20250620_193847.png,PAINT & FINISHES,SPRAY PAINT
Textured Spray Paint,PFSP000030,9,"Specialty textured spray paint creating stone, hammered, or wrinkle finishes on various surfaces.",26,paint_&_finishes_spray_paint_textured_spray_paint_20250620_193921.png,PAINT & FINISHES,SPRAY PAINT
Oil-Based Wood Stain,PFWS000031,29,"Penetrating oil-based stain that enhances wood grain with rich, deep color and natural look.",24,paint_&_finishes_wood_stain_oil_based_wood_stain_20250620_193956.png,PAINT & FINISHES,WOOD STAIN
Water-Based Wood Stain,PFWS000032,27,Fast-drying water-based stain with low odor and easy cleanup while maintaining wood beauty.,81,paint_&_finishes_wood_stain_water_based_wood_stain_20250620_194030.png,PAINT & FINISHES,WOOD STAIN
Gel Stain,PFWS000033,32,"Thick gel stain that won't drip or run, perfect for vertical surfaces and blotchy woods.",4,paint_&_finishes_wood_stain_gel_stain_20250620_194104.png,PAINT & FINISHES,WOOD STAIN
Semi-Transparent Deck Stain,PFWS000034,36,Outdoor deck stain with UV protection that allows wood grain to show through natural finish.,68,paint_&_finishes_wood_stain_semi_transparent_deck_stain_20250620_194138.png,PAINT & FINISHES,WOOD STAIN
Solid Color Deck Stain,PFWS000035,38,Opaque deck stain that provides full color coverage while still allowing wood texture to show.,30,paint_&_finishes_wood_stain_solid_color_deck_stain_20250620_194212.png,PAINT & FINISHES,WOOD STAIN
Clear Polyurethane Satin,PFPU000036,36,"Durable polyurethane finish with satin sheen for wood floors, furniture, and cabinets.",58,paint_&_finishes_polyurethane_clear_polyurethane_satin_20250620_194245.png,PAINT & FINISHES,POLYURETHANE
Gloss Polyurethane,PFPU000037,39,High-gloss polyurethane for maximum durability and shine on high-traffic wood surfaces.,82,paint_&_finishes_polyurethane_gloss_polyurethane_20250620_194319.png,PAINT & FINISHES,POLYURETHANE
Water-Based Polyurethane,PFPU000038,43,Fast-drying water-based polyurethane with low odor and excellent clarity for interior wood.,59,paint_&_finishes_polyurethane_water_based_polyurethane_20250620_194353.png,PAINT & FINISHES,POLYURETHANE
Oil-Based Polyurethane,PFPU000039,34,Traditional oil-based polyurethane with amber tone and superior durability for classic wood finish.,82,paint_&_finishes_polyurethane_oil_based_polyurethane_20250620_194428.png,PAINT & FINISHES,POLYURETHANE
Floor Polyurethane,PFPU000040,46,Commercial-grade floor polyurethane designed for heavy traffic areas with maximum wear resistance.,94,paint_&_finishes_polyurethane_floor_polyurethane_20250620_194503.png,PAINT & FINISHES,POLYURETHANE
Disposable Paint Tray Set,PFPT000041,6,Lightweight disposable paint trays with liners for easy cleanup and multiple project use.,12,paint_&_finishes_paint_trays_disposable_paint_tray_set_20250620_194537.png,PAINT & FINISHES,PAINT TRAYS
Metal Paint Tray 9-inch,PFPT000042,10,Durable metal paint tray with deep well and ribbed ramp for proper roller loading.,70,paint_&_finishes_paint_trays_metal_paint_tray_9_inch_20250620_194611.png,PAINT & FINISHES,PAINT TRAYS
Paint Tray Liner Set,PFPT000043,5,Disposable plastic liners that fit standard paint trays for quick cleanup and color changes.,0,paint_&_finishes_paint_trays_paint_tray_liner_set_20250620_194645.png,PAINT & FINISHES,PAINT TRAYS
Rolling Tray with Grid,PFPT000044,13,Professional rolling tray with built-in grid for removing excess paint and even coverage.,87,paint_&_finishes_paint_trays_rolling_tray_with_grid_20250620_194721.png,PAINT & FINISHES,PAINT TRAYS
Paint Bucket Grid,PFPT000045,8,Wire grid insert for paint buckets to remove excess paint from brushes and rollers.,13,paint_&_finishes_paint_trays_paint_bucket_grid_20250620_194755.png,PAINT & FINISHES,PAINT TRAYS
Canvas Drop Cloth 9x12,PFDC000046,20,Heavy-duty canvas drop cloth for floor protection during painting with absorbent cotton material.,53,paint_&_finishes_drop_cloths_canvas_drop_cloth_9x12_20250620_194828.png,PAINT & FINISHES,DROP CLOTHS
Plastic Drop Cloth,PFDC000047,5,Lightweight plastic sheeting for furniture and floor protection with easy disposal after use.,60,paint_&_finishes_drop_cloths_plastic_drop_cloth_20250620_194905.png,PAINT & FINISHES,DROP CLOTHS
Paper Drop Cloth,PFDC000048,7,Absorbent paper drop cloth for light protection and easy cleanup on small painting projects.,3,paint_&_finishes_drop_cloths_paper_drop_cloth_20250620_194939.png,PAINT & FINISHES,DROP CLOTHS
Canvas Runner 4x15,PFDC000049,14,Long canvas runner for hallway and narrow area protection during interior painting projects.,63,paint_&_finishes_drop_cloths_canvas_runner_4x15_20250620_195013.png,PAINT & FINISHES,DROP CLOTHS
Pre-Taped Masking Film,PFDC000050,10,Plastic film with pre-applied masking tape for quick coverage of windows and trim work.,97,paint_&_finishes_drop_cloths_pre_taped_masking_film_20250620_195046.png,PAINT & FINISHES,DROP CLOTHS
